event_index,spike_time_ns,event_energy_j,event_energy_pj
1,6.657094,2.891290277e-12,2.891290
2,25.146644,3.149148670e-12,3.149149
3,45.142940,3.270918123e-12,3.270918
4,65.142888,3.267511082e-12,3.267511
5,85.142887,3.267530765e-12,3.267531
6,105.142887,3.267530948e-12,3.267531
7,125.142887,3.267530951e-12,3.267531
8,145.142887,3.267530951e-12,3.267531
9,165.142887,3.267530951e-12,3.267531
10,185.142887,3.789469167e-12,3.789469

bootstrap_mean_energy_per_spike_j,bootstrap_mean_energy_per_spike_pj
3.192621515e-12,3.192622
3.192621533e-12,3.192622
3.192621533e-12,3.192622
3.192956258e-12,3.192956
3.192956258e-12,3.192956
3.192956258e-12,3.192956
3.192958226e-12,3.192958
3.192958226e-12,3.192958
3.192958263e-12,3.192958
3.192960213e-12,3.192960
3.192960231e-12,3.192960
3.192960232e-12,3.192960
3.193296925e-12,3.193297
3.193296962e-12,3.193297
3.193298967e-12,3.193299
3.194390212e-12,3.194390
3.194390212e-12,3.194390
3.194390213e-12,3.194390
3.194392162e-12,3.194392
3.194392181e-12,3.194392
3.194392199e-12,3.194392
3.194726924e-12,3.194727
3.194726943e-12,3.194727
3.194728892e-12,3.194729
3.194728930e-12,3.194729
3.194730898e-12,3.194731
3.194730916e-12,3.194731
3.195010350e-12,3.195010
3.195010369e-12,3.195010
3.195012318e-12,3.195012
3.195014323e-12,3.195014
3.195067647e-12,3.195068
3.195069633e-12,3.195070
3.195069634e-12,3.195070
3.195349067e-12,3.195349
3.195351035e-12,3.195351
3.195351035e-12,3.195351
3.195351072e-12,3.195351
3.195351072e-12,3.195351
3.195353060e-12,3.195353
3.195408351e-12,3.195408
3.195691777e-12,3.195692
3.206226416e-12,3.206226
3.206226453e-12,3.206226
3.206228384e-12,3.206228
3.206228385e-12,3.206228
3.206228385e-12,3.206228
3.206228421e-12,3.206228
3.206228421e-12,3.206228
3.206228440e-12,3.206228
3.206228440e-12,3.206228
3.206228441e-12,3.206228
3.206230371e-12,3.206230
3.206230390e-12,3.206230
3.206230390e-12,3.206230
3.206230408e-12,3.206230
3.206230408e-12,3.206230
3.206230409e-12,3.206230
3.206230427e-12,3.206230
3.206230427e-12,3.206230
3.206230427e-12,3.206230
3.206230427e-12,3.206230
3.206230428e-12,3.206230
3.206563165e-12,3.206563
3.206563165e-12,3.206563
3.206563184e-12,3.206563
3.206565152e-12,3.206565
3.206565152e-12,3.206565
3.206565171e-12,3.206565
3.206565171e-12,3.206565
3.206567120e-12,3.206567
3.206567121e-12,3.206567
3.206567121e-12,3.206567
3.206567139e-12,3.206567
3.206567139e-12,3.206567
3.206567139e-12,3.206567
3.206567139e-12,3.206567
3.206567139e-12,3.206567
3.206567158e-12,3.206567
3.206567158e-12,3.206567
3.206567158e-12,3.206567
3.206569107e-12,3.206569
3.206569107e-12,3.206569
3.206569126e-12,3.206569
3.206848578e-12,3.206849
3.206848578e-12,3.206849
3.206848578e-12,3.206849
3.206848596e-12,3.206849
3.206848597e-12,3.206849
3.206850546e-12,3.206851
3.206850565e-12,3.206851
3.206850565e-12,3.206851
3.206852496e-12,3.206852
3.206852551e-12,3.206853
3.206901901e-12,3.206902
3.206901901e-12,3.206902
3.206905819e-12,3.206906
3.206905856e-12,3.206906
3.206907825e-12,3.206908
3.206907843e-12,3.206908
3.206907843e-12,3.206908
3.206907843e-12,3.206908
3.206907843e-12,3.206908
3.206907861e-12,3.206908
3.206907862e-12,3.206908
3.207187295e-12,3.207187
3.207189282e-12,3.207189
3.207189282e-12,3.207189
3.207191287e-12,3.207191
3.207242587e-12,3.207243
3.207244574e-12,3.207245
3.207244592e-12,3.207245
3.207246560e-12,3.207247
3.207528018e-12,3.207528
3.207528018e-12,3.207528
3.207529986e-12,3.207530
3.207529986e-12,3.207530
3.207529986e-12,3.207530
3.207529986e-12,3.207530
3.207530005e-12,3.207530
3.207868703e-12,3.207869
3.208676541e-12,3.208677
3.208678509e-12,3.208679
3.208957961e-12,3.208958
3.208957980e-12,3.208958
3.208961916e-12,3.208962
3.208961953e-12,3.208962
3.209300652e-12,3.209301
3.209300652e-12,3.209301
3.209300670e-12,3.209301
3.209300671e-12,3.209301
3.209582110e-12,3.209582
3.218060708e-12,3.218061
3.218060708e-12,3.218061
3.218062639e-12,3.218063
3.218062676e-12,3.218063
3.218062676e-12,3.218063
3.218062694e-12,3.218063
3.218064626e-12,3.218065
3.218064644e-12,3.218065
3.218064645e-12,3.218065
3.218064645e-12,3.218065
3.218064663e-12,3.218065
3.218064663e-12,3.218065
3.218064663e-12,3.218065
3.218064681e-12,3.218065
3.218064682e-12,3.218065
3.218066594e-12,3.218067
3.218066613e-12,3.218067
3.218066631e-12,3.218067
