vec_id,status,energy_pj,l_inf_error,in0,in1,in2,in3,out0,raw0,out1,raw1,out2,raw2,out3,raw3,target0,target1,target2,target3
36,ACCURACY_FAIL,0.261136,0.326906988,-0.068021082,-0.032330687,-0.828230677,-0.795624767,0.009027947,1.790972053,0.020045090,1.779954910,0.000000139,1.799999861,0.000000139,1.799999861,0.334787590,0.346952078,0.156536104,0.161724228
37,ACCURACY_FAIL,8.981975,0.491085231,-0.314728324,-0.470486217,0.657710756,-0.677122779,0.000000135,1.799999865,0.000000135,1.799999865,0.999996844,0.800003156,0.000000135,1.799999865,0.192449787,0.164692052,0.508911613,0.133946547
38,ACCURACY_FAIL,8.982009,0.440036005,-0.953808558,0.901971146,0.056514790,-0.706794922,0.000000133,1.799999867,1.000000726,0.799999274,0.000000138,1.799999862,0.000000133,1.799999867,0.087539847,0.559964721,0.240427221,0.112068211
39,ACCURACY_FAIL,8.982022,0.493433481,0.086344852,-0.945915017,0.056218882,0.957002485,0.000000135,1.799999865,0.000000133,1.799999867,0.000000134,1.799999866,1.000003644,0.799996356,0.212088832,0.075546271,0.205794734,0.506570163
40,ACCURACY_FAIL,8.982077,0.573144170,0.726650061,0.392393572,-0.477769606,-0.266600416,0.992236865,0.807763135,0.007771393,1.792228607,0.000000135,1.799999865,0.000000135,1.799999865,0.419092695,0.300015949,0.125671638,0.155219718
41,ACCURACY_FAIL,8.982487,0.211295387,-0.665915931,0.543875817,0.065184795,0.558109783,0.000000135,1.799999865,0.465293629,1.334706371,0.000012236,1.799987764,0.534748303,1.265251697,0.101719017,0.341042132,0.211307623,0.345931227
42,ACCURACY_FAIL,8.982033,0.537949405,-0.340670010,-0.553916654,0.623022494,0.969852101,0.000000133,1.799999867,0.000000133,1.799999867,0.006368115,1.793631885,0.993635285,0.806364715,0.122889011,0.099289017,0.322136093,0.455685880
43,ACCURACY_FAIL,8.983091,0.272186341,0.705257597,0.612157170,0.636665887,0.479746041,0.546691585,1.253308415,0.182164250,1.617835750,0.255921963,1.544078037,0.015343643,1.784656357,0.274505244,0.250102276,0.256307694,0.219084786
44,ACCURACY_FAIL,0.669470,0.301666734,-0.546521020,0.035277448,-0.288874913,-0.942039699,0.000000161,1.799999839,0.074506212,1.725493788,0.000028093,1.799971907,0.000000138,1.799999862,0.210240168,0.376172946,0.272025725,0.141561161
45,ACCURACY_FAIL,8.846836,0.513862402,-0.944125849,-0.441162922,-0.481651273,0.385043883,0.000000137,1.799999863,0.000000148,1.799999852,0.000000141,1.799999859,0.984951256,0.815048744,0.124695778,0.206198629,0.198016739,0.471088854
46,ACCURACY_FAIL,8.982211,0.237622882,0.913030153,-0.105544644,0.874042403,0.976076116,0.282502242,1.517497758,0.000000132,1.799999868,0.165526206,1.634473794,0.551994870,1.248005130,0.295163959,0.106586429,0.283877624,0.314371988
47,ACCURACY_FAIL,8.982010,0.435120888,0.910001263,-0.270728229,-0.559075354,-0.546308347,1.000000900,0.799999100,0.000000133,1.799999867,0.000000133,1.799999867,0.000000133,1.799999867,0.564880012,0.173449042,0.130000296,0.131670650
48,ACCURACY_FAIL,8.982009,0.516641566,-0.606587673,-0.591253273,0.248132795,0.800616676,0.000000134,1.799999866,0.000000134,1.799999866,0.000023395,1.799976605,0.999977292,0.800022708,0.118333528,0.120162086,0.278168659,0.483335726
