n,density,seed,a_ones,b_ones,total_products,active_products,y_mean,y_max,digital_total_ops,digital_adder_depth,digital_output_bitwidth,digital_energy_pj_est,digital_latency_ns_est,neuro_membrane_fanin,neuro_energy_pj_est_measured_cal,neuro_energy_pj_est_spike_model,neuro_latency_ns_floor_est
2,0.020,22,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.020,23,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.020,24,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.020,25,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.020,26,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.020,27,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.020,28,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.020,29,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.020,30,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.020,31,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.020,32,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.020,33,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.020,34,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.020,35,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.020,36,0,1,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.020,37,0,1,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.020,38,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.020,39,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.020,40,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.020,41,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
2,0.020,42,0,0,8,0,0.000000,0,12,1,2,0.059608,0.141000,2,0.000000,0.000000,2.233000
