vec_id,status,energy_pj,l_inf_error,in0,in1,in2,in3,out0,raw0,out1,raw1,out2,raw2,out3,raw3,target0,target1,target2,target3
35,ACCURACY_FAIL,8.982000,0.144951882,-0.271673121,-0.754315538,0.697873853,0.986205443,0.048287487,0.048287487,0.018391482,0.018391482,0.335716281,0.335716281,0.597604750,0.597604750,0.128669483,0.079408432,0.339269218,0.452652868
36,ACCURACY_FAIL,8.982000,0.078228500,-0.068021082,-0.032330687,-0.828230677,-0.795624767,0.395888726,0.395888726,0.425180578,0.425180578,0.086549282,0.086549282,0.092381414,0.092381414,0.334787590,0.346952078,0.156536104,0.161724228
37,ACCURACY_FAIL,8.982000,0.250385570,-0.314728324,-0.470486217,0.657710756,-0.677122779,0.108583025,0.108583025,0.079519263,0.079519263,0.759297183,0.759297183,0.052600529,0.052600529,0.192449787,0.164692052,0.508911613,0.133946547
38,ACCURACY_FAIL,8.982000,0.240775577,-0.953808558,0.901971146,0.056514790,-0.706794922,0.019569598,0.019569598,0.800740298,0.800740298,0.147617425,0.147617425,0.032072679,0.032072679,0.087539847,0.559964721,0.240427221,0.112068211
39,ACCURACY_FAIL,8.982000,0.227336898,0.086344852,-0.945915017,0.056218882,0.957002485,0.128646346,0.128646346,0.016322547,0.016322547,0.121124046,0.121124046,0.733907061,0.733907061,0.212088832,0.075546271,0.205794734,0.506570163
40,ACCURACY_FAIL,8.982000,0.155763916,0.726650061,0.392393572,-0.477769606,-0.266600416,0.574856611,0.574856611,0.294596805,0.294596805,0.051690877,0.051690877,0.078855707,0.078855707,0.419092695,0.300015949,0.125671638,0.155219718
41,ACCURACY_FAIL,8.982000,0.066160191,-0.665915931,0.543875817,0.065184795,0.558109783,0.035558826,0.035558826,0.399723028,0.399723028,0.153452310,0.153452310,0.411265837,0.411265837,0.101719017,0.341042132,0.211307623,0.345931227
42,ACCURACY_FAIL,8.982000,0.161618412,-0.340670010,-0.553916654,0.623022494,0.969852101,0.044894615,0.044894615,0.029306947,0.029306947,0.308494146,0.308494146,0.617304292,0.617304292,0.122889011,0.099289017,0.322136093,0.455685880
43,ACCURACY_FAIL,8.982000,0.028310159,0.705257597,0.612157170,0.636665887,0.479746041,0.299500439,0.299500439,0.248617365,0.248617365,0.261107569,0.261107569,0.190774627,0.190774627,0.274505244,0.250102276,0.256307694,0.219084786
44,ACCURACY_FAIL,8.982000,0.129667382,-0.546521020,0.035277448,-0.288874913,-0.942039699,0.158004597,0.158004597,0.505840328,0.505840328,0.264519862,0.264519862,0.071635214,0.071635214,0.210240168,0.376172946,0.272025725,0.141561161
45,ACCURACY_FAIL,8.982000,0.224159093,-0.944125849,-0.441162922,-0.481651273,0.385043883,0.048712179,0.048712179,0.133200423,0.133200423,0.122839451,0.122839451,0.695247947,0.695247947,0.124695778,0.206198629,0.198016739,0.471088854
46,ACCURACY_FAIL,8.982000,0.065705822,0.913030153,-0.105544644,0.874042403,0.976076116,0.313501893,0.313501893,0.040880607,0.040880607,0.289985203,0.289985203,0.355632297,0.355632297,0.295163959,0.106586429,0.283877624,0.314371988
47,ACCURACY_FAIL,8.982000,0.267358063,0.910001263,-0.270728229,-0.559075354,-0.546308347,0.832238075,0.832238075,0.078465541,0.078465541,0.044078199,0.044078199,0.045218185,0.045218185,0.564880012,0.173449042,0.130000296,0.131670650
48,ACCURACY_FAIL,8.982000,0.204910377,-0.606587673,-0.591253273,0.248132795,0.800616676,0.041253575,0.041253575,0.042538374,0.042538374,0.227961948,0.227961948,0.688246103,0.688246103,0.118333528,0.120162086,0.278168659,0.483335726
49,ACCURACY_FAIL,8.982000,0.067823012,0.680871055,-0.041053147,0.305956086,0.599287490,0.390943586,0.390943586,0.092269613,0.092269613,0.184700082,0.184700082,0.332086720,0.332086720,0.323120574,0.156977321,0.222096190,0.297805915
50,ACCURACY_FAIL,8.982000,0.109955247,-0.830443027,0.321171300,0.819554275,0.564605768,0.018381833,0.018381833,0.183936665,0.183936665,0.498377309,0.498377309,0.299304193,0.299304193,0.074596623,0.235971152,0.388422062,0.301010163
51,ACCURACY_FAIL,8.982000,0.085537425,0.500280920,-0.043934511,-0.642956563,0.578270862,0.383557470,0.383557470,0.129160860,0.129160860,0.038978667,0.038978667,0.448303003,0.448303003,0.335548630,0.194717826,0.106967966,0.362765578
