time_ns,current_a,power_w,spike_v
13.200000,-7.068636349e-05,1.272354543e-04,0.275125553
13.300000,-7.041611590e-05,1.267490086e-04,0.271679978
13.400000,-7.002073174e-05,1.260373171e-04,0.268359891
13.500000,-6.976897058e-05,1.255841471e-04,0.265478054
13.600000,-6.954974568e-05,1.251895422e-04,0.262695499
13.700000,-6.926703163e-05,1.246806569e-04,0.260046806
13.800000,-6.897805284e-05,1.241604951e-04,0.257411323
13.900000,-6.868907405e-05,1.236403333e-04,0.254775839
14.000000,-6.847244651e-05,1.232504037e-04,0.252533319
14.100000,-6.828068723e-05,1.229052370e-04,0.250425867
14.200000,-6.808892796e-05,1.225600703e-04,0.248318414
14.300000,-6.789716869e-05,1.222149036e-04,0.246210962
14.400000,-6.770540942e-05,1.218697370e-04,0.244103510
14.500000,-6.751511924e-05,1.215272146e-04,0.242208212
14.600000,-6.732595479e-05,1.211867186e-04,0.240475481
14.700000,-6.713679033e-05,1.208462226e-04,0.238742750
14.800000,-6.694762587e-05,1.205057266e-04,0.237010019
14.900000,-6.675846141e-05,1.201652305e-04,0.235277289
15.000000,-6.656929695e-05,1.198247345e-04,0.233544558
15.100000,-6.638013250e-05,1.194842385e-04,0.231811827
15.200000,-6.619096804e-05,1.191437425e-04,0.230079096
15.300000,-6.603488545e-05,1.188627938e-04,0.228592204
15.400000,-6.590896265e-05,1.186361328e-04,0.227329436
15.500000,-6.578303986e-05,1.184094718e-04,0.226066668
15.600000,-6.565711707e-05,1.181828107e-04,0.224803900
15.700000,-6.553119428e-05,1.179561497e-04,0.223541132
15.800000,-6.540527148e-05,1.177294887e-04,0.222278364
15.900000,-6.527934869e-05,1.175028276e-04,0.221015596
16.000000,-6.515342590e-05,1.172761666e-04,0.219752828
16.100000,-6.502750311e-05,1.170495056e-04,0.218490060
16.200000,-6.490158031e-05,1.168228446e-04,0.217227292
16.300000,-6.477565752e-05,1.165961835e-04,0.215964524
16.400000,-6.464973473e-05,1.163695225e-04,0.214701756
16.500000,-6.452381194e-05,1.161428615e-04,0.213438988
16.600000,-6.441400339e-05,1.159452061e-04,0.212465248
16.700000,-6.430670597e-05,1.157520707e-04,0.211536550
16.800000,-6.419940856e-05,1.155589354e-04,0.210607851
16.900000,-6.409211114e-05,1.153658001e-04,0.209679152
17.000000,-6.398481372e-05,1.151726647e-04,0.208750453
17.100000,-6.387751631e-05,1.149795294e-04,0.207821754
