time_ns,phase,mem_meas_v,mem_model_global_step_v,mem_model_piecewise_step_v,out_v,spike_v,dmem_dt_meas_v_per_s,dmem_dt_global_v_per_s,dmem_dt_piecewise_v_per_s
58.500,decay,0.800983000,0.814529793,0.801030667,1.768163000,0.254390000,-1.912000e+06,2.591787e+07,-1.870388e+06
59.000,decay,0.800027000,0.813941936,0.800047806,1.771101000,0.243872000,-1.802000e+06,2.665971e+07,-1.765187e+06
59.500,decay,0.799126000,0.813356856,0.799144407,1.773155000,0.234816000,-1.618000e+06,2.732524e+07,-1.667086e+06
60.000,decay,0.798317000,0.812788618,0.798292457,1.775014000,0.227719000,-1.618000e+06,2.783636e+07,-1.591509e+06
60.500,decay,0.797508000,0.812235180,0.797521245,1.776873000,0.220622000,-1.440000e+06,2.834748e+07,-1.515932e+06
61.000,decay,0.796788000,0.811681741,0.796750034,1.777983000,0.215198000,-1.408000e+06,2.875691e+07,-1.452322e+06
61.500,decay,0.796084000,0.811166453,0.796061839,1.778964000,0.210065000,-1.408000e+06,2.914856e+07,-1.390820e+06
62.000,decay,0.795380000,0.810658280,0.795388590,1.779944000,0.204931000,-1.290000e+06,2.954035e+07,-1.329292e+06
62.500,decay,0.794735000,0.810150174,0.794715354,1.780882000,0.200665000,-1.242000e+06,2.986095e+07,-1.278649e+06
63.000,decay,0.794114000,0.809665473,0.794095676,1.781802000,0.196767000,-1.240000e+06,3.015140e+07,-1.232598e+06
63.500,decay,0.793494000,0.809189699,0.793497701,1.782723000,0.192870000,-1.140000e+06,3.044169e+07,-1.186590e+06
64.000,decay,0.792924000,0.808714844,0.792900705,1.783234000,0.189627000,-1.124000e+06,3.069796e+07,-1.144039e+06
64.500,decay,0.792362000,0.808272982,0.792351980,1.783673000,0.186500000,-1.124000e+06,3.094819e+07,-1.102095e+06
65.000,charge,0.791800000,0.807836095,0.791810953,1.784112000,0.183372000,4.029380e+08,3.119850e+07,4.106584e+08
65.500,reset,0.993269000,0.807399249,0.997129182,0.000271000,1.767354000,4.182960e+08,-1.190368e+07,8.904570e+06
66.000,reset,1.202417000,0.987317160,0.997721285,0.000017000,1.794606000,4.103020e+08,-1.940595e+07,3.651082e+06
66.500,reset,1.407568000,1.192714024,1.204242541,0.000035000,1.799316000,4.054440e+08,-2.495467e+07,-2.120439e+07
67.000,reset,1.610290000,1.395090665,1.396965803,0.000021000,1.800011000,3.680000e+06,-3.010807e+07,-4.986379e+07
