time_ns,mem,spike,out
114.000,1.035630,1.777727,0.000092
114.500,0.996342,1.769794,0.000169
115.000,0.959335,1.754445,0.000466
115.500,0.923849,1.731857,0.001029
116.000,0.888364,1.709269,0.001592
116.500,0.855993,1.649390,0.005242
117.000,0.825793,1.548521,0.013566
117.500,0.803488,0.596176,1.527004
118.000,0.802030,0.267393,1.764543
118.500,0.800980,0.254230,1.768254
119.000,0.800032,0.244039,1.770978
119.500,0.799149,0.235305,1.773209
120.000,0.798335,0.228079,1.774914
120.500,0.797520,0.220853,1.776619
121.000,0.796775,0.214946,1.777955
121.500,0.796083,0.210045,1.779010
122.000,0.795390,0.205145,1.780064
122.500,0.794719,0.200528,1.781036
123.000,0.794107,0.196700,1.781779
123.500,0.793495,0.192871,1.782521
124.000,0.792916,0.189528,1.783163
124.500,0.792356,0.186468,1.783745
125.000,0.791796,0.183407,1.784328
125.500,0.993266,1.767353,0.000271
126.000,1.202415,1.794606,0.000017
126.500,1.407565,1.799316,0.000036
127.000,1.610287,1.800011,0.000021
127.500,1.612127,1.799972,-0.000000
128.000,1.564191,1.799933,-0.000000
128.500,1.516706,1.799840,-0.000000
129.000,1.469476,1.799714,-0.000000
129.500,1.423226,1.799341,-0.000000
130.000,1.377676,1.798793,-0.000000
130.500,1.332127,1.798245,0.000000
131.000,1.286577,1.797697,0.000000
131.500,1.243416,1.795366,0.000010
132.000,1.201858,1.791839,0.000026
132.500,1.160299,1.788312,0.000043
133.000,1.118741,1.784785,0.000059
133.500,1.077183,1.781258,0.000076
134.000,1.035624,1.777731,0.000092
134.500,0.996340,1.769794,0.000169
135.000,0.959333,1.754438,0.000466
135.500,0.923847,1.731859,0.001029
136.000,0.888360,1.709280,0.001592
136.500,0.855992,1.649367,0.005245
137.000,0.825790,1.548551,0.013561
137.500,0.803487,0.595384,1.528946
138.000,0.802031,0.267467,1.764520
138.500,0.800984,0.254401,1.768150
139.000,0.800028,0.243870,1.771112
139.500,0.799125,0.234788,1.773155
140.000,0.798318,0.227728,1.775005
140.500,0.797511,0.220668,1.776854
141.000,0.796788,0.215185,1.777995
141.500,0.796085,0.210077,1.778967
142.000,0.795383,0.204970,1.779938
142.500,0.794734,0.200656,1.780877
143.000,0.794115,0.196770,1.781797
143.500,0.793496,0.192883,1.782718
144.000,0.792924,0.189626,1.783238
144.500,0.792362,0.186502,1.783673
145.000,0.791800,0.183378,1.784108
145.500,0.993269,1.767355,0.000271
146.000,1.202418,1.794606,0.000017
146.500,1.407568,1.799316,0.000035
147.000,1.610290,1.800011,0.000021
147.500,1.612130,1.799972,-0.000000
148.000,1.564195,1.799933,-0.000000
148.500,1.516709,1.799840,-0.000000
149.000,1.469479,1.799714,-0.000000
149.500,1.423229,1.799341,-0.000000
150.000,1.377680,1.798793,-0.000000
150.500,1.332131,1.798245,0.000000
151.000,1.286581,1.797696,0.000000
151.500,1.243417,1.795368,0.000010
152.000,1.201859,1.791840,0.000026
152.500,1.160302,1.788312,0.000043
153.000,1.118744,1.784783,0.000059
153.500,1.077187,1.781255,0.000076
154.000,1.035630,1.777727,0.000092
154.500,0.996342,1.769794,0.000169
155.000,0.959335,1.754445,0.000466
155.500,0.923849,1.731857,0.001029
156.000,0.888364,1.709269,0.001592
156.500,0.855993,1.649390,0.005242
157.000,0.825793,1.548521,0.013566
157.500,0.803488,0.596176,1.527004
158.000,0.802030,0.267393,1.764543
158.500,0.800980,0.254230,1.768254
159.000,0.800032,0.244039,1.770978
159.500,0.799149,0.235305,1.773209
160.000,0.798335,0.228079,1.774914
160.500,0.797520,0.220853,1.776619
161.000,0.796775,0.214946,1.777955
161.500,0.796083,0.210045,1.779010
162.000,0.795390,0.205145,1.780064
162.500,0.794719,0.200528,1.781036
163.000,0.794107,0.196700,1.781779
163.500,0.793495,0.192871,1.782521
164.000,0.792916,0.189528,1.783163
164.500,0.792356,0.186468,1.783745
165.000,0.791796,0.183407,1.784328
165.500,0.993266,1.767353,0.000271
166.000,1.202415,1.794606,0.000017
166.500,1.407565,1.799316,0.000036
167.000,1.610287,1.800011,0.000021
167.500,1.612127,1.799972,-0.000000
168.000,1.564191,1.799933,-0.000000
168.500,1.516706,1.799840,-0.000000
169.000,1.469476,1.799714,-0.000000
169.500,1.423226,1.799341,-0.000000
170.000,1.377676,1.798793,-0.000000
170.500,1.332127,1.798245,0.000000
171.000,1.286577,1.797697,0.000000
171.500,1.243416,1.795366,0.000010
172.000,1.201858,1.791839,0.000026
172.500,1.160299,1.788312,0.000043
173.000,1.118741,1.784785,0.000059
173.500,1.077183,1.781258,0.000076
174.000,1.035624,1.777731,0.000092
174.500,0.996340,1.769794,0.000169
175.000,0.959333,1.754438,0.000466
175.500,0.923847,1.731859,0.001029
176.000,0.888360,1.709280,0.001592
176.500,0.855992,1.649367,0.005245
177.000,0.825790,1.548551,0.013561
177.500,0.803487,0.595384,1.528946
178.000,0.802031,0.267467,1.764520
178.500,0.800984,0.254401,1.768150
179.000,0.800028,0.243870,1.771112
179.500,0.799125,0.234788,1.773155
180.000,0.798318,0.227728,1.775005
180.500,0.797511,0.220668,1.776854
181.000,0.796788,0.215185,1.777995
181.500,0.796085,0.210077,1.778967
182.000,0.795383,0.204970,1.779938
182.500,0.794734,0.200656,1.780877
183.000,0.794115,0.196770,1.781797
183.500,0.793496,0.192883,1.782718
184.000,0.792924,0.189626,1.783238
184.500,0.792362,0.186502,1.783673
185.000,0.791800,0.183378,1.784108
185.500,0.993269,1.767355,0.000271
186.000,1.202418,1.794606,0.000017
186.500,1.407568,1.799316,0.000035
187.000,1.610290,1.800011,0.000021
187.500,1.612130,1.799972,-0.000000
188.000,1.564195,1.799933,-0.000000
188.500,1.516709,1.799840,-0.000000
189.000,1.469479,1.799714,-0.000000
189.500,1.423229,1.799341,-0.000000
190.000,1.377680,1.798793,-0.000000
190.500,1.332131,1.798245,0.000000
191.000,1.286581,1.797696,0.000000
191.500,1.243417,1.795368,0.000010
192.000,1.201859,1.791840,0.000026
192.500,1.160302,1.788312,0.000043
193.000,1.118744,1.784783,0.000059
193.500,1.077187,1.781255,0.000076
194.000,1.035630,1.777727,0.000092
194.500,0.996342,1.769794,0.000169
195.000,0.959335,1.754445,0.000466
195.500,0.923849,1.731857,0.001029
196.000,0.888364,1.709269,0.001592
196.500,0.855993,1.649390,0.005242
197.000,0.825793,1.548521,0.013566
197.500,0.803488,0.596176,1.527004
198.000,0.802030,0.267393,1.764543
198.500,0.800980,0.254230,1.768254
199.000,0.800032,0.244039,1.770978
199.500,0.799135,0.235000,1.773287
