time_ns,spike0,spike1,spike2,spike3
99.500,0.273366,1.260214,0.973344,1.772514
100.000,0.242228,1.174095,0.973830,1.772540
100.500,0.217289,1.062964,0.973559,1.772550
101.000,0.196936,0.947115,0.972478,1.772540
101.500,0.180726,0.833802,0.970237,1.772500
102.000,0.167978,0.729434,0.966553,1.772423
102.500,0.157174,0.634083,0.961591,1.772310
103.000,0.148732,0.551102,0.954472,1.772138
103.500,0.141781,0.479286,0.944684,1.771889
104.000,0.135674,0.414656,0.933048,1.771586
104.500,0.130946,0.361983,0.915356,1.771100
105.000,0.126621,0.312802,0.895896,1.770561
105.500,0.136568,0.274692,0.864345,1.769680
106.000,0.230248,0.251458,0.783357,1.767853
106.500,0.366017,0.291581,0.700273,1.763795
107.000,0.478444,0.433464,0.743446,1.761910
107.500,0.581133,0.533834,0.768635,1.762716
108.000,0.672308,0.625280,0.791746,1.763887
108.500,0.751613,0.708545,0.813301,1.765080
109.000,0.820103,0.784428,0.833252,1.766179
109.500,0.878128,0.853116,0.851464,1.767152
110.000,0.926067,0.914819,0.867837,1.767991
110.500,0.962797,0.968748,0.882062,1.768685
111.000,0.992430,1.017816,0.894905,1.769291
111.500,1.014729,1.061873,0.906316,1.769811
112.000,1.027351,1.099746,0.915959,1.770234
112.500,1.035000,1.134441,0.924694,1.770606
113.000,1.037406,1.166345,0.932639,1.770940
113.500,1.031614,1.193888,0.939350,1.771214
114.000,1.013206,1.217531,0.945006,1.771438
114.500,0.961693,1.238362,0.949944,1.771631
115.000,0.878453,1.256216,0.954215,1.771796
115.500,0.788496,1.270966,0.957878,1.771935
116.000,0.699603,1.282570,0.961001,1.772052
116.500,0.614726,1.291906,0.963781,1.772156
117.000,0.539079,1.297434,0.966081,1.772241
117.500,0.469357,1.300653,0.968129,1.772317
118.000,0.409729,1.299397,0.969819,1.772380
118.500,0.356269,1.294749,0.971290,1.772435
119.000,0.310846,1.283953,0.972477,1.772480
119.500,0.273256,1.260059,0.973372,1.772515
120.000,0.242117,1.173700,0.973852,1.772541
