time_ns,mem0,mem1,mem2,mem3
88.000,0.790379,0.610074,0.520521,0.547386
88.500,0.782272,0.683877,0.513941,0.540452
89.000,0.773071,0.750872,0.507440,0.533609
89.500,0.763587,0.789231,0.538934,0.526859
90.000,0.753920,0.790299,0.610030,0.520198
90.500,0.744197,0.782258,0.683957,0.513620
91.000,0.734327,0.773044,0.750801,0.507125
91.500,0.724360,0.763559,0.789195,0.538644
92.000,0.714400,0.753892,0.790290,0.609763
92.500,0.704522,0.744169,0.782256,0.683724
93.000,0.694790,0.734294,0.773028,0.749669
93.500,0.685216,0.724331,0.763550,0.788842
94.000,0.675838,0.714369,0.753882,0.790261
94.500,0.666655,0.704493,0.744154,0.782184
95.000,0.657669,0.694762,0.734280,0.772966
95.500,0.648880,0.685213,0.724319,0.763465
96.000,0.640250,0.675830,0.714364,0.753790
96.500,0.631817,0.666670,0.704508,0.743970
97.000,0.623526,0.657675,0.694765,0.734057
97.500,0.615383,0.648858,0.685188,0.724087
98.000,0.607356,0.640185,0.675744,0.714070
98.500,0.599554,0.631787,0.666616,0.704210
99.000,0.591785,0.623432,0.657539,0.694386
99.500,0.584247,0.615360,0.648806,0.684877
100.000,0.576713,0.607294,0.640081,0.675375
100.500,0.569492,0.599606,0.631822,0.666410
101.000,0.562271,0.591918,0.623563,0.657444
101.500,0.555049,0.584229,0.615304,0.648479
102.000,0.547956,0.576691,0.607229,0.639741
102.500,0.541076,0.569408,0.599466,0.631389
103.000,0.534197,0.562124,0.591702,0.623037
103.500,0.527378,0.554910,0.584021,0.614787
104.000,0.520783,0.547954,0.576648,0.606920
104.500,0.514187,0.540998,0.569276,0.599053
105.000,0.507592,0.534042,0.561903,0.591186
105.500,0.539037,0.527286,0.554764,0.583602
106.000,0.610182,0.520619,0.547728,0.576140
106.500,0.683834,0.514039,0.540790,0.568794
107.000,0.750814,0.507536,0.533941,0.561551
107.500,0.789179,0.539055,0.527187,0.554418
108.000,0.790379,0.610074,0.520521,0.547386
108.500,0.782272,0.683877,0.513941,0.540452
109.000,0.773071,0.750872,0.507440,0.533609
109.500,0.763587,0.789231,0.538934,0.526859
110.000,0.753920,0.790299,0.610031,0.520198
110.500,0.744197,0.782258,0.683957,0.513620
111.000,0.734327,0.773044,0.750801,0.507125
111.500,0.724360,0.763559,0.789195,0.538644
112.000,0.714400,0.753892,0.790290,0.609763
112.500,0.704522,0.744169,0.782256,0.683724
113.000,0.694790,0.734294,0.773028,0.749669
113.500,0.685216,0.724331,0.763550,0.788842
114.000,0.675838,0.714369,0.753882,0.790261
114.500,0.666655,0.704493,0.744154,0.782184
115.000,0.657669,0.694762,0.734280,0.772966
115.500,0.648880,0.685213,0.724319,0.763465
116.000,0.640250,0.675830,0.714364,0.753790
116.500,0.631817,0.666670,0.704508,0.743970
117.000,0.623526,0.657675,0.694765,0.734057
117.500,0.615383,0.648858,0.685188,0.724087
118.000,0.607356,0.640185,0.675744,0.714070
118.500,0.599554,0.631787,0.666616,0.704210
119.000,0.591785,0.623432,0.657539,0.694386
119.500,0.584247,0.615360,0.648806,0.684877
120.000,0.576713,0.607294,0.640081,0.675375
