time_ns,mem,spike,out
125.000,0.709673,0.197916,1.727588
125.500,0.922701,1.583014,0.035008
126.000,1.130331,1.723304,0.014340
126.500,1.330661,1.759592,0.010712
127.000,1.526357,1.774008,0.009504
127.500,1.538682,1.775015,0.009460
128.000,1.482951,1.772187,0.009701
128.500,1.428393,1.768543,0.010018
129.000,1.374459,1.764439,0.010379
129.500,1.322954,1.758044,0.010978
130.000,1.272231,1.750911,0.011654
130.500,1.221508,1.743778,0.012329
131.000,1.173421,1.731705,0.013699
131.500,1.129325,1.712146,0.016121
132.000,1.085229,1.692587,0.018543
132.500,1.041133,1.673028,0.020965
133.000,0.997038,1.653469,0.023387
133.500,0.954492,1.627662,0.027013
134.000,0.917123,1.575812,0.036641
134.500,0.882049,1.505588,0.051548
135.000,0.849391,1.402491,0.080627
135.500,0.821711,1.219921,0.168226
136.000,0.798768,0.947646,0.391939
136.500,0.784098,0.679605,1.227334
137.000,0.774138,0.540682,1.475621
137.500,0.766513,0.463467,1.559919
138.000,0.760186,0.410078,1.607388
138.500,0.754732,0.369297,1.638248
139.000,0.749885,0.337336,1.657383
139.500,0.745517,0.313757,1.674265
140.000,0.741481,0.294323,1.682670
140.500,0.737730,0.279001,1.693156
141.000,0.734189,0.265538,1.698794
141.500,0.730813,0.253799,1.703969
142.000,0.727580,0.243690,1.710549
142.500,0.724509,0.234641,1.713896
143.000,0.721498,0.225977,1.716065
143.500,0.718672,0.219029,1.720187
144.000,0.715861,0.212221,1.724469
144.500,0.713173,0.205941,1.726064
145.000,0.710524,0.199832,1.726795
145.500,0.924732,1.586203,0.034378
146.000,1.132219,1.723445,0.014425
146.500,1.332476,1.759552,0.010800
147.000,1.528175,1.774042,0.009515
147.500,1.522011,1.774250,0.009525
148.000,1.466588,1.771218,0.009784
148.500,1.412368,1.767312,0.010127
149.000,1.358994,1.762768,0.010531
149.500,1.307388,1.756312,0.011144
150.000,1.258108,1.747339,0.012031
150.500,1.208829,1.738366,0.012918
151.000,1.159550,1.729393,0.013805
151.500,1.112412,1.715269,0.015515
152.000,1.070491,1.688603,0.019232
152.500,1.028569,1.661936,0.022948
153.000,0.986648,1.635269,0.026664
153.500,0.944727,1.608603,0.030381
154.000,0.906009,1.564073,0.038164
154.500,0.872490,1.474877,0.060503
155.000,0.840396,1.367222,0.091530
155.500,0.813815,1.163335,0.191586
156.000,0.793756,0.847727,0.601879
156.500,0.780776,0.627812,1.342432
157.000,0.771695,0.513864,1.506672
157.500,0.764528,0.445812,1.575744
158.000,0.758488,0.396729,1.616405
158.500,0.753250,0.359037,1.644120
159.000,0.748572,0.330225,1.663773
159.500,0.744306,0.307679,1.675767
160.000,0.740383,0.290072,1.686452
160.500,0.736667,0.274851,1.694805
161.000,0.733136,0.261439,1.699800
161.500,0.729864,0.250954,1.706241
162.000,0.726641,0.240818,1.711908
162.500,0.723619,0.232099,1.714422
163.000,0.720650,0.223853,1.717285
163.500,0.717848,0.217081,1.721236
164.000,0.715047,0.210309,1.725187
164.500,0.712382,0.204175,1.726730
165.000,0.709754,0.198221,1.727593
165.500,0.924210,1.585378,0.034537
166.000,1.131727,1.723347,0.014428
166.500,1.331998,1.759524,0.010796
167.000,1.527704,1.774026,0.009515
167.500,1.521543,1.774227,0.009526
168.000,1.466126,1.771192,0.009787
168.500,1.411921,1.767275,0.010130
169.000,1.358528,1.762746,0.010533
169.500,1.307015,1.756195,0.011155
170.000,1.257678,1.747303,0.012033
170.500,1.208341,1.738410,0.012911
171.000,1.159004,1.729517,0.013788
171.500,1.112261,1.714456,0.015646
172.000,1.070244,1.688150,0.019291
172.500,1.028227,1.661844,0.022937
173.000,0.986210,1.635538,0.026582
173.500,0.944193,1.609232,0.030228
174.000,0.905663,1.563762,0.038200
174.500,0.872213,1.474039,0.060657
175.000,0.840206,1.364545,0.092996
175.500,0.813619,1.160641,0.193553
176.000,0.793620,0.845327,0.610836
176.500,0.780695,0.626652,1.342058
177.000,0.771640,0.513539,1.507311
177.500,0.764509,0.446157,1.575581
178.000,0.758423,0.396418,1.616972
178.500,0.753194,0.358755,1.645112
179.000,0.748504,0.329876,1.662761
179.500,0.744347,0.309019,1.675175
180.000,0.740316,0.290015,1.686673
180.500,0.736594,0.274643,1.694520
181.000,0.733035,0.261202,1.700427
181.500,0.729826,0.251125,1.705692
182.000,0.726617,0.241048,1.710958
182.500,0.723505,0.231741,1.715457
183.000,0.720619,0.224221,1.718176
183.500,0.717733,0.216702,1.720895
184.000,0.714973,0.210055,1.723746
184.500,0.712317,0.204137,1.726707
185.000,0.709661,0.198219,1.729667
185.500,0.922265,1.582371,0.035115
186.000,1.129888,1.722948,0.014421
